MONTH,ZONE,CIRCLE,DIVISION CODE,DIVISION,OVERALL Input Energy Prog (MU),OVERALL Unit Sold Prog (MU),OVERALL Distribution Loss Prog (%),OVERALL Current Assessment With ED Prog (Lakh),OVERALL  Realisation Prog(Lakh),OVERALL % Realisation Prog,OVERALL ATC Loss,OVERALL Realisation Rate Input Prog (Rs / Unit),OVERALL Realisation Rate Sold Prog (Rs / Unit),GOVERNMENT Unit Sold Prog Govt (MU),GOVERNMENT Current Assessment With ED Prog Govt (Lakh),GOVERNMENT Realisation Prog Govt (Lakh),GOVERNMENT % Realisation Prog Govt,GOVERNMENT ATC Loss Prog Govt,NON GOVERNMENT Unit Sold Prog Non Govt (MU),NON GOVERNMENT Current Assessment With ED Prog on Govt (Lakh),NON GOVERNMENT Realisation Prog Non Govt (Lakh),NON GOVERNMENT % Realisation Prog Non Govt,NON GOVERNMENT ATC Loss Prog Non Govt
April-25,KANPUR II,EDC ETAWAH,DIV223031,EUDD ETAWAH,31.31,23.33,25.49,1366.26,1059.71,77.56,42.21,3.38,4.54,2.31,153.36,3.13,2.04,98.48,21.02,1212.9,1056.58,87.11,35.09
April-25,KANPUR II,EDC ETAWAH,DIV223033,EDD ETAWAH RURAL,33.95,29.46,13.22,1561.3,1146.16,73.41,36.29,3.38,3.89,9.28,676.17,618.35,91.45,20.64,20.18,885.12,527.8,59.63,48.25
April-25,KANPUR II,EDC ETAWAH,DIV223032,"EDD SAIFAI, ETAWAH",38.42,27.44,28.57,1254.66,959.09,76.44,45.4,2.5,3.5,6.36,158.81,80,50.38,64.02,21.08,1095.85,879.09,80.22,42.7
April-25,KANPUR II,EDC FARRUKHABAD,DIV222921,EDD FARRUKKHABAD,46.08,35.74,22.43,1240.67,979.02,78.91,38.79,2.12,2.74,2.01,217.05,365.47,168.38,-30.61,33.73,1023.62,613.55,59.94,53.5
April-25,KANPUR II,EDC FARRUKHABAD,DIV222922,EDD KAYAMGANJ,25.95,20.76,20.02,656.07,353.77,53.92,56.87,1.36,1.7,0.98,94.66,0,0,100,19.78,561.41,353.77,63.01,49.6
April-25,KANPUR II,EDC FARRUKHABAD,DIV222923,EUDD FARRUKHABAD,24.82,20.93,15.67,1329.41,1293.51,97.3,17.95,5.21,6.18,0.97,88.52,111.38,125.82,-6.1,19.96,1240.88,1182.13,95.27,19.66
April-25,KANPUR II,EDC KANNAUJ,DIV222942,EDD CHHIBRAMAU,59.12,44.67,24.44,1800.51,1590.46,88.33,33.25,2.69,3.56,1.4,134.73,247.03,183.36,-38.55,43.27,1665.78,1343.42,80.65,39.06
April-25,KANPUR II,EDC KANNAUJ,DIV222941,EDD KANNAUJ,48.85,38.25,21.71,1811,1172.22,64.73,49.32,2.4,3.06,1.67,157.35,0,0,100,36.58,1653.65,1172.22,70.89,44.5
April-25,MATHURA,EDC I MATHURA,DIV261423,"EDD GOVERDHAN, MATHURA",28.35,22.34,21.2,1009.74,832.66,82.46,35.02,2.94,3.73,0.33,25.2,83.51,331.47,-161.2,22.01,984.55,749.15,76.09,40.04
April-25,MATHURA,EDC I MATHURA,DIV261421,EDD MATHURA RURAL,38.96,26.63,31.65,1779.18,1496.29,84.1,42.52,3.84,5.62,0.76,66.33,200.96,302.99,-107.09,25.87,1712.85,1295.33,75.62,48.31
April-25,MATHURA,EDC I MATHURA,DIV261422,EDD KOSIKALAN,54.56,47.33,13.25,2972.41,2171.58,73.06,36.62,3.98,4.59,2.06,187.34,1.31,0.7,99.39,45.27,2785.07,2170.27,77.93,32.4
April-25,MATHURA,EDC II MATHURA,DIV261431,"EDD LAXMINAGAR, MATHURA",21.1,15.32,27.39,817.08,593.99,72.7,47.21,2.82,3.88,0.97,65.79,67.23,102.18,25.81,14.35,751.29,526.77,70.12,49.09
April-25,MATHURA,EDC II MATHURA,DIV261432,EDD MATH,16.24,12.36,23.88,464.51,381.63,82.16,37.46,2.35,3.09,0.17,13.22,0,0,100,12.2,451.29,381.63,84.56,35.63
April-25,MATHURA,EUDC MATHURA,DIV261411,"EUDD CANTT, MATHURA",27.1,19.97,26.3,1731.62,1552,89.63,33.94,5.73,7.77,2.04,142.98,212.9,148.9,-9.74,17.93,1588.64,1339.1,84.29,37.88
April-25,MATHURA,EUDC MATHURA,DIV261412,"EUDD VRINDAVAN, MATHURA",27.96,19.53,30.15,1645.54,1429.45,86.87,39.32,5.11,7.32,1.07,104.97,118.66,113.04,21.04,18.46,1540.57,1310.79,85.08,40.57
April-25,MATHURA,EUDC MATHURA,DIV261413,"EUDD KRISHNANAGAR, MATHURA",31.39,20.45,34.85,1778.49,1744.78,98.1,36.08,5.56,8.53,1.49,165.21,290.82,176.03,-14.68,18.96,1613.28,1453.96,90.12,41.28
April-25,TORRENT,TORRENT,TORRENT,TORRENT,224.13,224.13,0,8236.75,7742.82,94,6,3.45,3.45,0,0,0,0,100,224.13,8236.75,7742.82,94,6
May-25,AGRA,EDC AGRA,DIV251541,"EDD SIKANDARA, AGRA",55.75,33.83,39.31,1908.56,1964.09,102.91,37.54,3.52,5.81,2.1,189.44,1.87,0.98,99.4,31.73,1719.12,1962.23,114.14,30.73
May-25,AGRA,EDC AGRA,DIV251542,"EDD LAKHANPUR, AGRA",32.92,25.23,23.35,1812.52,1503.85,82.97,36.4,4.57,5.96,1.33,112.55,0,0,100,23.9,1699.97,1503.85,88.46,32.19
May-25,AGRA,EDC AGRA,DIV251544,"EDD KIRAWALI, AGRA",28.46,15.64,45.03,831.67,644.36,77.48,57.41,2.26,4.12,0.93,82.46,85.49,103.68,43.01,14.71,749.21,558.87,74.59,59
May-25,AGRA,EDC AGRA,DIV251543,EDD KHAIRAGARH,24.85,17.38,30.05,794.33,465.42,58.59,59.01,1.87,2.68,1.17,94.42,0,0,100,16.21,699.91,465.42,66.5,53.49
May-25,AGRA,EDC FATEHABAD,DIV251511,EDD BAH,30.28,25.26,16.59,1121.64,424.81,37.87,68.41,1.4,1.68,4.04,541.89,0,0,100,21.22,579.75,424.81,73.27,38.88
May-25,AGRA,EDC FATEHABAD,DIV251512,EDD ETMADPUR,41.53,27.93,32.74,1510.95,1020.07,67.51,54.59,2.46,3.65,1.05,102.98,1.49,1.44,99.03,26.89,1407.97,1018.58,72.34,51.34
May-25,AGRA,EDC FATEHABAD,DIV251513,"EDD FATEHABAD, AGRA",52.83,43.03,18.55,1653.37,1115.2,67.45,45.06,2.11,2.59,1.08,86.88,0,0,100,41.95,1566.48,1115.2,71.19,42.01
May-25,ALIGARH,EDC I ALIGARH,DIV211241,"EDD SARSOL, ALIGARH",30.26,27.52,9.04,1323.02,1313.34,99.27,9.7,4.34,4.77,0.44,42.16,3.62,8.58,92.2,27.08,1280.85,1309.73,102.25,6.99
May-25,ALIGARH,EDC I ALIGARH,DIV211242,"EDD ATRAULI, ALIGARH",26.07,20.26,22.28,950.77,810.05,85.2,33.78,3.11,4,0.54,54.26,53.43,98.46,23.48,19.72,896.5,756.63,84.4,34.41
May-25,ALIGARH,EDC I ALIGARH,DIV211243,"EDD TALANAGRI, ALIGARH",30.81,23.57,23.49,1441.47,1357.01,94.14,27.97,4.41,5.76,0.16,18.59,0.35,1.86,98.57,23.41,1422.88,1356.67,95.35,27.05
